DEPTH,CALI,DT,NPHI,PHIE,RHOB,SW,litho,VCLC,VDOL,VOL_SHALE,VSAN .V/V
2612.2884,5.7115,59.8528,0.1174,0.0967,2.6978,0.5498,1,0.0344,0.6749,0.042,0.425
2612.4408,5.7108,58.8411,0.1134,0.0915,2.6979,0.5576,1,0.0647,0.6984,0.0407,0.425
2612.5932,5.7439,59.3332,0.1208,0.0984,2.6974,0.5541,1,0.0027,0.7583,0.0385,0.425
2612.7456,5.743,60.2876,0.129,0.0916,2.6965,0.6085,1,0.0,0.7639,0.0689,0.425
2612.898,5.741,60.7802,0.1371,0.0888,2.6956,0.6581,1,0.0,0.7862,0.0852,0.425
2613.0504,5.7379,59.5657,0.1453,0.0919,2.6926,0.6777,1,0.0,0.8166,0.0771,0.425
2613.2028,5.7359,58.6241,0.1544,0.1019,2.6853,0.6353,1,0.0,0.8313,0.0569,0.425
2613.3552,5.7353,60.1993,0.1636,0.1146,2.6781,0.574,1,0.0,0.8304,0.0469,0.425
2613.5076,5.75,61.4604,0.1678,0.1248,2.6716,0.5347,1,0.0,0.831,0.0363,0.425
2613.66,5.7485,62.6628,0.1658,0.1313,2.6787,0.5093,1,0.0,0.7462,0.0265,0.425
2613.8124,5.6634,60.5096,0.1637,0.1313,2.6858,0.5215,1,0.0,0.8473,0.004,0.425
2613.9648,5.6792,61.8807,0.1617,0.1346,2.6929,0.4989,1,0.0,0.7191,0.0042,0.425
2614.1172,5.6704,59.6362,0.1416,0.123,2.6905,0.5455,1,0.0,0.8005,0.0002,0.425
2614.2696,5.6872,59.8477,0.1355,0.1226,2.6853,0.5484,1,0.0,0.7741,0.0,0.425
2614.422,5.7734,59.464,0.1295,0.1203,2.6801,0.5595,1,0.0,0.7889,0.0001,0.425
2614.5744,5.7728,60.8866,0.129,0.1211,2.6788,0.555,1,0.0,0.6978,0.0111,0.425
2614.7268,5.7711,59.5316,0.129,0.1094,2.6817,0.6139,1,0.0,0.8086,0.0256,0.425
2614.8792,5.769,60.9569,0.1349,0.1025,2.6845,0.6335,1,0.0,0.7644,0.057,0.425
2615.0316,5.767,60.2558,0.1524,0.1,2.6847,0.6705,1,0.0,0.8132,0.0714,0.425
2615.184,5.7657,60.8881,0.1528,0.1033,2.6743,0.7345,1,0.0,0.8117,0.0724,0.425
2615.3364,5.8159,60.1989,0.1528,0.1077,2.664,0.7679,1,0.0,0.8195,0.0621,0.425
2615.4888,5.8294,61.4138,0.1528,0.1028,2.6537,0.5862,1,0.0018,0.7922,0.0881,0.425
2615.6412,5.7416,64.3299,0.1528,0.1014,2.6352,0.5765,1,0.0991,0.6684,0.1117,0.425
2615.7936,5.7025,65.4844,0.1528,0.1046,2.616,0.5758,1,0.1897,0.5537,0.1141,0.425
2615.946,5.7004,68.1196,0.1462,0.1108,2.5969,0.7262,2,0.3416,0.2185,0.1135,0.425
2616.0984,5.6984,68.3003,0.1381,0.1099,2.604,0.8293,2,0.3774,0.0982,0.1073,0.425
2616.2508,5.7138,68.3819,0.1299,0.1086,2.6256,0.796,2,0.3502,0.0182,0.1009,0.425
2616.4032,5.7127,64.8978,0.1219,0.0952,2.6471,0.8441,2,0.3052,0.2233,0.0917,0.425
2616.5556,5.7106,62.3573,0.1294,0.0898,2.6658,0.7874,1,0.1468,0.5666,0.0915,0.425
2616.708,5.7083,61.3014,0.1385,0.0917,2.6796,0.7198,1,0.0074,0.7917,0.0894,0.425
2616.8604,5.7062,60.4818,0.1464,0.0978,2.6933,0.6192,1,0.0,0.8218,0.0686,0.425
2617.0128,5.7045,58.8151,0.1512,0.1084,2.7039,0.5282,1,0.0,0.8555,0.0303,0.425
2617.1652,5.7025,60.9872,0.1561,0.1303,2.6795,0.4819,1,0.0,0.8017,0.0073,0.425
2617.3176,5.7005,61.801,0.161,0.1415,2.6551,0.468,1,0.0,0.8212,0.0002,0.425
2617.47,5.6981,63.1261,0.1659,0.1517,2.6307,0.4526,1,0.0,0.8098,0.0,0.425
2617.6224,5.6959,65.206,0.1707,0.1634,2.6153,0.432,1,0.0,0.7163,0.0,0.425
2617.7748,5.675,66.2975,0.1756,0.1713,2.6022,0.4217,1,0.0,0.6869,0.0,0.425
2617.9272,5.6391,68.8433,0.1766,0.1833,2.5891,0.4038,1,0.0,0.5348,0.0,0.425
2618.0796,5.6362,68.9301,0.1766,0.1849,2.5802,0.4281,1,0.0,0.5532,0.0,0.425
2618.232,5.633,68.226,0.1766,0.171,2.5753,0.4837,1,0.0169,0.6348,0.0265,0.425
2618.3844,5.6329,70.7608,0.1766,0.1615,2.5704,0.5161,2,0.1046,0.4167,0.0663,0.425
2618.5368,5.7189,70.3358,0.1766,0.1273,2.569,0.3731,2,0.2155,0.4179,0.1345,0.425
2618.6892,5.7354,68.4462,0.1766,0.1076,2.5784,0.4312,2,0.2235,0.4737,0.1632,0.425
2618.8416,5.734,67.5529,0.1761,0.1019,2.5877,0.4749,1,0.1975,0.5029,0.1685,0.425
2618.994,5.7319,67.6505,0.174,0.1047,2.5971,0.4943,1,0.1552,0.5531,0.1595,0.425
2619.1464,5.7299,67.6539,0.172,0.1229,2.6002,0.4265,1,0.0881,0.6231,0.1171,0.425
